name,abb,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology,l,t,k,f,fchange,r,n,targetHerb,targetGrass,ffh6510,ffh6210,target,ruderal,targetEllenberg
Lathyrus_pratensis,Lathprat,http://www.worldfloraonline.org/taxon/wfo-0000212701,na,Fabaceae,legume,"NA","NA","NA",no,5400,7,5,NA,6,"NA",7,6,yes,no,yes,no,yes,no,hay_meadow
Lathyrus_sylvestris,Lathsylv,http://www.worldfloraonline.org/taxon/wfo-0000213824,na,Fabaceae,legume,"NA","NA","NA",no,6110,7,6,4,4,"NA",8,2,no,no,no,no,no,no,no
Leontodon_hispidus,Leonhisp,http://www.worldfloraonline.org/taxon/wfo-0000018147,na,Asteraceae,herb,"NA","NA","NA",no,5000,8,NA,3,5,"NA",7,6,yes,no,no,no,yes,no,no
Lepidium_ruderale,Lepirude,http://www.worldfloraonline.org/taxon/wfo-0000358755,na,Brassicaceae,herb,"NA","NA","NA",no,3711,9,6,7,4,"NA",NA,6,no,no,no,no,no,no,no
Leucanthemum_vulgare,Leucvulg,http://www.worldfloraonline.org/taxon/wfo-0000036932,na,Asteraceae,herb,"NA","NA","NA",no,5420,7,NA,3,4,"NA",NA,3,yes,no,yes,no,yes,no,hay_meadow
Linaria_vulgaris,Linavulg,http://www.worldfloraonline.org/taxon/wfo-0000446438,na,Plantaginaceae,herb,"NA","NA","NA",no,3540,8,6,5,4,"NA",7,5,no,no,no,no,no,yes,no
Linum_catharticum,Linucath,http://www.worldfloraonline.org/taxon/wfo-0000363831,na,Linaceae,herb,BG,"NA","NA",no,5410,7,NA,3,NA,"NA",7,2,yes,no,no,yes,yes,no,hay_meadow
Lolium_perenne,Lolipere,http://www.worldfloraonline.org/taxon/wfo-0000878441,na,Poaceae,sub-grass,"NA","NA","NA",no,5423,8,6,3,5,"NA",7,7,no,no,no,no,no,no,hay_meadow
Lotus_corniculatus,Lotucorn,http://www.worldfloraonline.org/taxon/wfo-0000212180,na,Fabaceae,legume,"NA","NA","NA",no,5000,7,NA,3,4,"NA",7,3,yes,no,no,no,yes,no,no
Lysimachia_nummularia,Lysinumm,http://www.worldfloraonline.org/taxon/wfo-0000442792,na,Primulaceae,herb,"NA","NA","NA",no,NA,4,6,4,6,1,NA,NA,yes,no,no,no,yes,NA,NA
Lysimachia_vulgaris,Lysivulg,http://www.worldfloraonline.org/taxon/wfo-0000442301,na,Primulaceae,herb,"NA","NA","NA",no,NA,6,NA,NA,8,1,NA,NA,yes,no,no,no,yes,NA,NA
Malva_moschata,Malvmosc,http://www.worldfloraonline.org/taxon/wfo-0000449199,na,Malvaceae,herb,"NA","NA",3,no,5421,8,6,3,4,"NA",7,4,yes,no,no,no,yes,no,hay_meadow
Matricaria_chamomilla,Matrcham,http://www.worldfloraonline.org/taxon/wfo-0000003146,na,Asteraceae,herb,"NA","NA","NA",no,3421,7,6,5,5,"NA",5,5,no,no,no,no,no,yes,no
Medicago_falcata,Medifalc,http://www.worldfloraonline.org/taxon/wfo-0000213426,na,Fabaceae,legume,"NA","NA","NA",no,6112,8,6,7,3,"NA",9,3,yes,no,no,yes,yes,no,no
Medicago_lupulina,Medilupu,http://www.worldfloraonline.org/taxon/wfo-0000213454,na,Fabaceae,legume,"NA","NA","NA",no,5322,7,5,NA,4,"NA",8,NA,yes,no,yes,no,yes,no,dry_grassland
Medicago_minima,Medimini,http://www.worldfloraonline.org/taxon/wfo-0000185370,na,Fabaceae,legume,"NA",V,"NA",no,NA,9,7,3,3,"NA",8,2,yes,no,no,no,yes,NA,NA
Medicago_sativa,Medisati,http://www.worldfloraonline.org/taxon/wfo-0000213468,na,Fabaceae,legume,"NA","NA","NA",yes,NA,8,6,6,4,"NA",7,NA,yes,no,no,no,yes,NA,NA
Melilotus_officinalis,Melioffi,http://www.worldfloraonline.org/taxon/wfo-0000213864,na,Fabaceae,legume,"NA","NA","NA",no,3542,8,6,6,3,"NA",8,3,no,no,no,no,no,yes,no
Mentha_longifolia,Mentlong,http://www.worldfloraonline.org/taxon/wfo-0000240918,na,Lamiaceae,herb,"NA","NA","NA",no,3811,7,5,4,8,2,9,7,yes,no,no,no,yes,no,no
Mentha_spicata,Mentspic,http://www.worldfloraonline.org/taxon/wfo-0000241390,"NA",Lamiaceae,herb,"NA","NA","NA",yes,0,NA,NA,NA,NA,"NA",NA,NA,no,no,no,no,no,no,no
Myosotis_arvensis,Myosarve,http://www.worldfloraonline.org/taxon/wfo-0000367842,na,Boraginaceae,herb,"NA","NA","NA",no,3400,6,6,5,5,"NA",NA,6,yes,no,no,no,yes,yes,no
Nardus_stricta,Nardstri,http://www.worldfloraonline.org/taxon/wfo-0000881131,na,Poaceae,sub-grass,"NA",V,"NA",no,5110,8,NA,3,NA,1,2,2,no,yes,no,no,yes,no,nardus_grassland
Oenothera_biennis,Oenobien,http://www.worldfloraonline.org/taxon/wfo-0000389564,na,Onagraceae,herb,"NA","NA","NA",yes,3542,9,7,3,4,"NA",NA,4,yes,no,no,no,yes,yes,no
Onobrychis_viciifolia,Onobvici,http://www.worldfloraonline.org/taxon/wfo-0000205013,na,Fabaceae,legume,"NA","NA","NA",yes,5322,8,7,6,3,"NA",8,3,yes,no,no,no,yes,no,dry_grassland
Ononis_spinosa,Ononspin,http://www.worldfloraonline.org/taxon/wfo-0000183372,na,Fabaceae,legume,"NA","NA","NA",no,5322,8,6,5,4,1,7,3,yes,no,no,no,yes,no,dry_grassland
Ononis_spinosa_ssp_procurrens,Ononspinproc,http://www.worldfloraonline.org/taxon/wfo-0000186975,Ononis_repens,Fabaceae,legume,"NA","NA","NA",no,5322,8,5,2,4,1,7,2,yes,no,no,no,yes,no,dry_grassland
Origanum_vulgare,Origvulg,http://www.worldfloraonline.org/taxon/wfo-0000260765,na,Lamiaceae,herb,"NA","NA","NA",no,6110,7,NA,3,3,"NA",8,3,yes,no,no,no,yes,no,no
Orobanche_spec,Orobspec,http://www.worldfloraonline.org/taxon/wfo-4000027206,na,Orobanchaceae,parasite,"NA","NA","NA",no,NA,NA,NA,NA,NA,"NA",NA,NA,yes,no,no,yes,yes,NA,NA
Papaver_rhoeas,Paparhoe,http://www.worldfloraonline.org/taxon/wfo-0000481006,na,Papaveraceae,herb,"NA","NA","NA",no,3400,6,6,3,5,"NA",7,6,no,no,no,no,no,yes,no
Parthenocissus_inserta,Partinse,http://www.worldfloraonline.org/taxon/wfo-0000476975,na,Vitaceae,liana,"NA","NA","NA",yes,NA,NA,NA,NA,NA,"NA",NA,NA,no,no,no,no,no,NA,NA
Persicaria_amphibia,Persamph,http://www.worldfloraonline.org/taxon/wfo-0000488056,Polygonum_amphibium,Polygonaceae,herb,"NA","NA","NA",no,1312,7,6,NA,11,"NA",6,4,yes,no,no,no,yes,no,no
Peucedanum_officinale,Peucoffi,http://www.worldfloraonline.org/taxon/wfo-0000391810,na,Apiaceae,herb,"NA",3,2,no,8423,7,7,5,4,1,8,2,yes,no,no,no,yes,no,no
Peucedanum_oreoselinum,Peucoreo,http://www.worldfloraonline.org/taxon/wfo-0000391827,na,Apiaceae,herb,"NA",V,"NA",no,6112,6,6,4,3,"NA",6,2,yes,no,no,no,yes,no,no
Phalaris_arundinacea,Phalarun,http://www.worldfloraonline.org/taxon/wfo-0000889610,na,Poaceae,top-grass,"NA","NA","NA",no,1510,7,5,NA,9,2,7,7,no,no,no,no,no,no,no
Phleum_phleoides,Phlephle,http://www.worldfloraonline.org/taxon/wfo-0000890086,na,Poaceae,top-grass,"NA",V,"NA",no,5300,8,6,7,3,"NA",8,2,no,yes,no,yes,yes,no,dry_grassland
Phleum_pratense,Phleprat,http://www.worldfloraonline.org/taxon/wfo-0000890092,na,Poaceae,top-grass,"NA","NA","NA",no,5423,7,NA,5,5,"NA",NA,6,no,no,no,no,no,no,hay_meadow
Phyteuma_spicatum,Phytspic,http://www.worldfloraonline.org/taxon/wfo-0000816739,na,Poaceae,top-grass,"NA","NA","NA",no,8430,NA,NA,4,5,"NA",6,5,no,no,no,no,no,no,no
Pilosella_caespitosa,Pilocaes,http://www.worldfloraonline.org/taxon/wfo-0000118413,Hieracium_caespitosum,Asteraceae,herb,"NA",V,3,no,5000,8,5,6,7,1,7,3,yes,no,no,no,yes,no,no
Pilosella_officinarum,Pilooffi,http://www.worldfloraonline.org/taxon/wfo-0000068649,Hieracium_pilosella,Asteraceae,herb,"NA","NA","NA",no,5000,7,NA,3,4,"NA",NA,2,yes,no,no,no,yes,no,no
Pilosella_piloselloides,Pilopilo,http://www.worldfloraonline.org/taxon/wfo-0000032468,Hieracium_piloselloides,Asteraceae,herb,"NA","NA","NA",no,4441,9,6,4,4,1,8,2,yes,no,no,no,yes,no,no
Pimpinella_major,Pimpmajo,http://www.worldfloraonline.org/taxon/wfo-0000391450,na,Apiaceae,herb,"NA","NA","NA",no,5420,7,5,2,5,"NA",7,7,yes,no,no,no,yes,no,hay_meadow
Pimpinella_saxifraga,Pimpsaxi,http://www.worldfloraonline.org/taxon/wfo-0000391166,na,Apiaceae,herb,"NA","NA","NA",no,5300,7,NA,5,3,"NA",NA,2,yes,no,yes,no,yes,no,dry_grassland
Plantago_lanceolata,Planlanc,http://www.worldfloraonline.org/taxon/wfo-0000486603,na,Plantaginaceae,herb,"NA","NA","NA",no,5400,6,NA,3,NA,"NA",NA,NA,yes,no,yes,no,yes,no,hay_meadow
Plantago_major_ssp_intermedia,Planmajointe,http://www.worldfloraonline.org/taxon/wfo-0000745393,Plantago_intermedia,Plantaginaceae,herb,"NA","NA","NA",no,3811,7,6,NA,7,2,5,4,yes,no,no,yes,yes,no,no
Plantago_media,Planmedi,http://www.worldfloraonline.org/taxon/wfo-0000486573,na,Plantaginaceae,herb,"NA","NA","NA",no,5000,7,NA,7,4,"NA",7,3,yes,no,no,no,yes,no,no
Poa_angustifolia,Poaangu,http://www.worldfloraonline.org/taxon/wfo-0000891510,na,Poaceae,sub-grass,"NA","NA","NA",no,5300,7,6,NA,NA,"NA",NA,3,yes,no,no,no,yes,no,dry_grassland
Poa_annua,Poaannu,http://www.worldfloraonline.org/taxon/wfo-0000891536,na,Poaceae,sub-grass,"NA","NA","NA",no,NA,7,NA,5,6,"NA",NA,8,no,no,no,no,no,NA,NA
Poa_compressa,Poacomp,http://www.worldfloraonline.org/taxon/wfo-0000892001,na,Poaceae,sub-grass,"NA","NA","NA",no,3610,9,NA,4,3,"NA",9,3,no,yes,no,no,yes,yes,no
Poa_pratensis,Poaprat,http://www.worldfloraonline.org/taxon/wfo-0000893396,na,Poaceae,sub-grass,"NA","NA","NA",no,5400,6,NA,NA,5,"NA",NA,6,no,yes,yes,no,yes,no,hay_meadow
Poa_trivialis,Poatriv,http://www.worldfloraonline.org/taxon/wfo-0000894135,na,Poaceae,sub-grass,"NA","NA","NA",no,5400,6,NA,3,7,"NA",NA,7,no,no,no,no,no,no,hay_meadow
Polygala_amarella,Polyamar,http://www.worldfloraonline.org/taxon/wfo-0000484045,na,Polygalaceae,herb,"NA",V,"NA",no,NA,9,NA,4,9,"NA",9,1,yes,no,no,no,yes,NA,NA
Polygala_vulgaris,Polyvulg,http://www.worldfloraonline.org/taxon/wfo-0000488110,na,Polygalaceae,herb,"NA",V,"NA",no,5112,7,NA,3,5,"NA",3,2,yes,no,no,no,yes,no,nardus_grassland
Polygonatum_multiflorum,Polymult,http://www.worldfloraonline.org/taxon/wfo-0000716086,na,Asparagaceae,herb,"NA","NA","NA",no,8430,2,NA,5,5,"NA",6,5,no,no,no,no,no,no,no
Polygonum_aviculare,Polyavic,http://www.worldfloraonline.org/taxon/wfo-0000489656,na,Polygonaceae,herb,"NA","NA","NA",no,3711,7,6,NA,4,"NA",NA,6,no,no,no,no,no,no,no
Potentilla_anserina,Poteanse,http://www.worldfloraonline.org/taxon/wfo-0001016615,na,Rosaceae,herb,"NA","NA","NA",no,3811,7,6,NA,6,1,NA,7,yes,no,no,no,yes,no,no
Potentilla_argentea,Potearge,http://www.worldfloraonline.org/taxon/wfo-0001016312,na,Rosaceae,herb,"NA","NA","NA",no,5200,9,6,3,2,"NA",3,1,yes,no,no,no,yes,no,sand_grassland
Potentilla_grandiflora,Potegran,http://www.worldfloraonline.org/taxon/wfo-0000983686,Potentilla_verna,Rosaceae,herb,"NA",V,"NA",no,5114,8,6,4,3,"NA",7,2,yes,no,no,no,yes,no,nardus_grassland
Potentilla_recta,Poterect,http://www.worldfloraonline.org/taxon/wfo-0000983388,na,Rosaceae,herb,"NA","NA","NA",no,5200,9,7,5,3,"NA",5,2,yes,no,no,no,yes,no,sand_grassland
Potentilla_reptans,Poterept,http://www.worldfloraonline.org/taxon/wfo-0001011690,na,Rosaceae,herb,"NA","NA","NA",no,3811,6,6,3,6,"NA",7,5,yes,no,no,no,yes,no,no
Prunella_vulgaris,Prunvulg,http://www.worldfloraonline.org/taxon/wfo-0000283746,na,Lamiaceae,herb,"NA","NA","NA",no,5400,7,NA,3,5,"NA",7,NA,yes,no,yes,no,yes,no,hay_meadow
Quercus_robur,Querrobu,http://www.worldfloraonline.org/taxon/wfo-0000292858,"NA",Fagaceae,tree,"NA","NA","NA",no,0,7,5,5,NA,no,NA,NA,no,no,no,no,no,no,no
Ranunculus_acris,Ranuacri,http://www.worldfloraonline.org/taxon/wfo-0000461396,na,Ranunculaceae,herb,"NA","NA","NA",no,5400,7,NA,3,6,"NA",NA,NA,yes,no,yes,no,yes,no,hay_meadow
Ranunculus_bulbosus,Ranubulb,http://www.worldfloraonline.org/taxon/wfo-0000461562,na,Ranunculaceae,herb,"NA","NA","NA",no,5322,8,6,3,3,"NA",7,3,yes,no,no,yes,yes,no,dry_grassland
Ranunculus_repens,Ranurepe,http://www.worldfloraonline.org/taxon/wfo-0000463198,na,Ranunculaceae,herb,"NA","NA","NA",no,NA,6,NA,NA,7,1,NA,NA,no,no,no,no,no,NA,NA
Ranunculus_serpens_ssp_nemorosus,Ranuserpnemo,http://www.worldfloraonline.org/taxon/wfo-0000462219,Ranunculus_nemorosus,Ranunculaceae,herb,"NA",V,"NA",no,NA,6,NA,4,5,"NA",6,NA,yes,no,no,no,yes,NA,NA
Ranunculus_spec,Ranuspec,http://www.worldfloraonline.org/taxon/wfo-4000032540,"NA",Ranunculaceae,herb,"NA","NA","NA","NA",NA,NA,NA,NA,NA,"NA",NA,NA,no,no,no,no,no,NA,NA
Reseda_lutea,Reselute,http://www.worldfloraonline.org/taxon/wfo-0000462651,na,Resedaceae,herb,"NA","NA","NA",no,3540,7,6,3,3,"NA",8,5,yes,no,no,no,yes,yes,no
Rhinanthus_alectorolophus,Rhinalec,http://www.worldfloraonline.org/taxon/wfo-0000463700,na,Orobanchaceae,hemiparasite,"NA","NA","NA",no,NA,8,NA,2,4,"NA",7,3,yes,no,no,no,yes,NA,NA
Rhinanthus_glacialis,Rhinglac,http://www.worldfloraonline.org/taxon/wfo-0001138801,na,Orobanchaceae,hemiparasite,"NA",V,"NA",no,5111,8,3,4,5,"NA",4,2,yes,no,no,yes,yes,no,nardus_grassland
Rhinanthus_minor,Rhinmino,http://www.worldfloraonline.org/taxon/wfo-0000747233,na,Orobanchaceae,hemiparasite,"NA","NA","NA",no,5400,7,5,3,NA,"NA",NA,3,no,no,no,no,no,no,hay_meadow
Rhinanthus_serotinus,Rhinsero,http://www.worldfloraonline.org/taxon/wfo-0000464097,na,Orobanchaceae,hemiparasite,"NA",3,"NA",no,NA,7,5,3,6,1,7,2,yes,no,no,yes,yes,NA,NA
Rosa_canina,Rosacani,http://www.worldfloraonline.org/taxon/wfo-0001005999,na,Rosaceae,halfshrub,"NA","NA","NA",no,8440,8,5,3,4,"NA",NA,NA,no,no,no,no,no,no,no
Rubus_caesius,Rubucaes,http://www.worldfloraonline.org/taxon/wfo-0001017340,na,Rosaceae,halfshrub,"NA","NA","NA",no,NA,6,5,4,NA,"NA",8,7,no,no,no,no,no,NA,NA
Rumex_acetosa,Rumeacet,http://www.worldfloraonline.org/taxon/wfo-0000403595,na,Polygonaceae,herb,"NA","NA","NA",no,5400,8,NA,NA,NA,"NA",NA,6,yes,no,yes,no,yes,no,hay_meadow
Rumex_crispus,Rumecris,http://www.worldfloraonline.org/taxon/wfo-0000403671,na,Polygonaceae,herb,"NA","NA","NA",no,3811,7,5,3,7,1,NA,5,no,no,no,no,no,no,no
Rumex_obtusifolius,Rumeobtu,http://www.worldfloraonline.org/taxon/wfo-0000403904,na,Polygonaceae,herb,"NA","NA","NA",no,3811,7,5,3,6,"NA",NA,9,no,no,no,no,no,no,no
Salix_cinerea,Salicine,http://www.worldfloraonline.org/taxon/wfo-0000929149,"NA",Salicaceae,tree,"NA","NA","NA",no,0,7,NA,5,9,1,5,4,no,no,no,no,no,no,no
Salvia_nemorosa,Salvnemo,http://www.worldfloraonline.org/taxon/wfo-0000301687,na,Lamiaceae,herb,"NA","NA",2,no,3541,7,7,NA,4,"NA",9,4,yes,no,no,no,yes,yes,no
Salvia_pratensis,Salvprat,http://www.worldfloraonline.org/taxon/wfo-0000301989,na,Lamiaceae,herb,"NA",V,"NA",no,5300,8,6,4,3,"NA",8,4,yes,no,no,no,yes,no,dry_grassland
Sanguisorba_minor,Sangmino,http://www.worldfloraonline.org/taxon/wfo-0001015888,na,Rosaceae,herb,"NA","NA","NA",no,5300,7,6,5,3,"NA",8,2,yes,no,no,yes,yes,no,dry_grassland
Sanguisorba_officinalis,Sangoffi,http://www.worldfloraonline.org/taxon/wfo-0000983287,na,Rosaceae,herb,"NA",V,"NA",no,5400,7,5,7,7,"NA",NA,NA,yes,no,no,no,yes,no,hay_meadow
Saponaria_officinalis,Sapooffi,http://www.worldfloraonline.org/taxon/wfo-0000438211,na,Caryophyllaceae,herb,"NA","NA","NA",no,3611,7,6,3,5,"NA",7,5,yes,no,no,no,yes,yes,no
Scabiosa_columbaria,Scabcolu,http://www.worldfloraonline.org/taxon/wfo-0000500277,na,Caprifoliaceae,herb,"NA","NA","NA",no,5320,8,5,2,3,"NA",8,3,yes,no,no,yes,yes,no,dry_grassland
Scrophularia_umbrosa,Scroumbr,http://www.worldfloraonline.org/taxon/wfo-0000496178,na,Scrophulariaceae,herb,"NA","NA","NA",no,3521,7,6,5,9,2,8,7,no,no,no,no,no,yes,no
Securigera_varia,Secuvari,http://www.worldfloraonline.org/taxon/wfo-0000186576,Coronilla_varia,Fabaceae,legume,"NA","NA","NA",no,6110,7,6,5,4,"NA",9,3,yes,no,no,no,yes,no,no
Sedum_acre,Seduacre,http://www.worldfloraonline.org/taxon/wfo-0000437124,na,Crassulaceae,herb,"NA","NA","NA",no,5200,8,6,3,2,"NA",NA,1,yes,no,no,no,yes,no,sand_grassland
Sedum_sexangulare,Sedusexa,http://www.worldfloraonline.org/taxon/wfo-0000437960,na,Crassulaceae,herb,"NA","NA","NA",no,5200,7,5,4,2,"NA",6,1,yes,no,no,no,yes,no,sand_grassland
Setaria_viridis,Setaviri,http://www.worldfloraonline.org/taxon/wfo-0000899679,na,Poaceae,sub-grass,"NA","NA","NA",no,3300,7,6,NA,4,"NA",NA,7,no,no,no,no,no,yes,no
Silaum_silaus,Silasila,http://www.worldfloraonline.org/taxon/wfo-0000434202,na,Apiaceae,herb,"NA",V,"NA",no,5410,7,6,5,NA,1,7,2,yes,no,no,no,yes,no,hay_meadow
Silene_dioica,Siledioi,http://www.worldfloraonline.org/taxon/wfo-0000440478,na,Caryophyllaceae,herb,"NA","NA","NA",no,NA,NA,NA,4,6,"NA",7,8,no,no,no,no,no,NA,NA
Silene_flos-cuculi,Sileflos,http://www.worldfloraonline.org/taxon/wfo-0000438691,Lychnis_flos-cuculi,Caryophyllaceae,herb,"NA","NA","NA",no,5410,7,5,3,7,1,NA,NA,yes,no,no,no,yes,no,hay_meadow
Silene_gallica,Silegall,http://www.worldfloraonline.org/taxon/wfo-0000440573,na,Caryophyllaceae,herb,"NA",1,"NA",no,3400,7,7,3,4,"NA",7,6,no,no,no,no,no,yes,no
Silene_latifolia_ssp_alba,Silelatialba,http://www.worldfloraonline.org/taxon/wfo-0000440845,na,Caryophyllaceae,herb,"NA","NA","NA",no,3000,8,6,NA,4,"NA",NA,7,yes,no,no,no,yes,no,no
Silene_vulgaris,Silevulg,http://www.worldfloraonline.org/taxon/wfo-0000440200,na,Caryophyllaceae,herb,"NA","NA","NA",no,NA,8,NA,NA,4,1,7,2,yes,no,no,no,yes,NA,NA
Sisymbrium_officinale,Sisyoffi,http://www.worldfloraonline.org/taxon/wfo-0000432010,na,Brassicaceae,herb,"NA","NA","NA",no,3331,8,6,5,4,"NA",NA,7,no,no,no,no,no,yes,no
Solidago_canadensis,Solicana,http://www.worldfloraonline.org/taxon/wfo-0000060775,na,Asteraceae,herb,"NA","NA","NA",yes,3500,8,6,5,NA,"NA",NA,6,no,no,no,no,no,yes,no
Solidago_gigantea,Soligiga,http://www.worldfloraonline.org/taxon/wfo-0000130517,na,Asteraceae,herb,"NA","NA","NA",yes,3500,8,6,5,6,"NA",NA,7,no,no,no,no,no,yes,no
Sonchus_arvensis,Soncarve,http://www.worldfloraonline.org/taxon/wfo-0000092611,na,Asteraceae,herb,"NA","NA","NA",no,3310,7,5,NA,5,1,7,NA,no,no,no,no,no,yes,no
Sonchus_asper,Soncaspe,http://www.worldfloraonline.org/taxon/wfo-0000031264,na,Asteraceae,herb,"NA","NA","NA",no,3310,7,5,NA,6,"NA",7,7,yes,no,no,no,yes,yes,no
Stachys_officinalis,Stacoffi,http://www.worldfloraonline.org/taxon/wfo-0000314333,Betonica_officinalis,Lamiaceae,herb,"NA",V,"NA",no,5411,7,6,5,NA,1,NA,3,yes,no,no,no,yes,no,hay_meadow
Stachys_palustris,Stacpalu,http://www.worldfloraonline.org/taxon/wfo-0000314357,na,Lamiaceae,herb,"NA","NA","NA",no,5412,7,5,NA,7,1,7,6,yes,no,no,no,yes,no,hay_meadow
Stellaria_graminea,Stelgram,http://www.worldfloraonline.org/taxon/wfo-0000436380,na,Caryophyllaceae,herb,"NA","NA","NA",no,NA,6,NA,NA,4,"NA",4,3,yes,no,yes,no,yes,NA,NA
Symphytum_officinale,Sympoffi,http://www.worldfloraonline.org/taxon/wfo-0000432219,na,Boraginaceae,herb,"NA","NA","NA",no,NA,7,6,3,8,"NA",NA,8,no,no,no,no,no,NA,NA
Tanacetum_vulgare,Tanavulg,http://www.worldfloraonline.org/taxon/wfo-0000114512,na,Asteraceae,herb,"NA","NA","NA",no,3542,8,6,4,5,"NA",8,5,yes,no,no,no,yes,yes,no
Taraxacum_campylodes,Taracamp,http://www.worldfloraonline.org/taxon/wfo-0000093449,Taraxacum_officinale,Asteraceae,herb,"NA","NA","NA",no,NA,7,NA,5,NA,"NA",NA,7,no,no,no,no,no,NA,NA
Thalictrum_minus,Thalminu,http://www.worldfloraonline.org/taxon/wfo-0000453930,na,Ranunculaceae,herb,"NA",V,G,no,6112,6,NA,7,3,"NA",8,3,yes,no,no,no,yes,no,no
Thymus_pulegioides,Thympule,http://www.worldfloraonline.org/taxon/wfo-0000324607,na,Lamiaceae,herb,"NA","NA","NA",no,5000,8,NA,4,4,"NA",NA,1,yes,no,no,no,yes,no,no
Tragopogon_pratensis,Tragprat,http://www.worldfloraonline.org/taxon/wfo-0000080363,na,Asteraceae,herb,"NA","NA","NA",no,5420,7,6,3,4,"NA",7,6,yes,no,yes,no,yes,no,hay_meadow
Trifolium_arvense,Trifarve,http://www.worldfloraonline.org/taxon/wfo-0000212967,"NA",Fabaceae,legume,"NA","NA","NA",no,0,8,6,3,3,no,2,1,no,no,no,no,no,no,no
Trifolium_campestre,Trifcamp,http://www.worldfloraonline.org/taxon/wfo-0000212979,na,Fabaceae,legume,"NA","NA","NA",no,5200,8,6,3,4,"NA",6,3,yes,no,yes,no,yes,no,sand_grassland
Trifolium_dubium,Trifdubi,http://www.worldfloraonline.org/taxon/wfo-0000212995,na,Fabaceae,legume,"NA","NA","NA",no,5421,6,6,3,5,"NA",6,5,yes,no,yes,no,yes,no,hay_meadow
Trifolium_hybridum,Trifhybr,http://www.worldfloraonline.org/taxon/wfo-0000213009,na,Fabaceae,legume,"NA","NA","NA",yes,3811,7,6,5,6,"NA",7,5,yes,no,no,no,yes,no,no
Trifolium_medium,Trifmedi,http://www.worldfloraonline.org/taxon/wfo-0000213979,na,Fabaceae,legume,"NA","NA","NA",no,6111,7,6,4,4,"NA",6,3,yes,no,no,no,yes,no,no
Trifolium_montanum,Trifmont,http://www.worldfloraonline.org/taxon/wfo-0000213031,na,Fabaceae,legume,"NA",V,"NA",no,5300,8,NA,4,3,1,8,2,yes,no,no,yes,yes,no,dry_grassland
Trifolium_pratense,Trifprat,http://www.worldfloraonline.org/taxon/wfo-0000213053,na,Fabaceae,legume,"NA","NA","NA",no,5400,7,NA,3,NA,"NA",NA,NA,yes,no,yes,no,yes,no,hay_meadow
Trifolium_repens,Trifrepe,http://www.worldfloraonline.org/taxon/wfo-0000213062,na,Fabaceae,legume,"NA","NA","NA",no,5423,8,NA,NA,5,"NA",6,6,no,no,no,no,no,no,hay_meadow
Tripleurospermum_maritimum,Tripmari,http://www.worldfloraonline.org/taxon/wfo-0000063085,na,Asteraceae,herb,"NA","NA","NA",no,2810,9,6,3,6,2,7,8,no,no,no,no,no,no,no
Trisetum_flavescens,Trisflav,http://www.worldfloraonline.org/taxon/wfo-0000905119,na,Poaceae,top-grass,"NA","NA","NA",no,5420,7,NA,5,NA,"NA",NA,5,no,no,yes,no,no,no,hay_meadow
Tussilago_farfara,Tussfarf,http://www.worldfloraonline.org/taxon/wfo-0000117140,na,Asteraceae,herb,"NA","NA","NA",no,3000,8,NA,3,6,1,8,NA,yes,no,no,no,yes,no,no
Urtica_dioica,Urtidioi,http://www.worldfloraonline.org/taxon/wfo-0000416616,na,Urticaceae,herb,"NA","NA","NA",no,3500,NA,NA,NA,6,"NA",7,8,no,no,no,no,no,yes,no
Valeriana_officinalis,Valeoffi,http://www.worldfloraonline.org/taxon/wfo-0000426953,na,Caprifoliaceae,herb,"NA","NA","NA",no,5410,7,6,5,8,1,7,5,yes,no,no,no,yes,no,hay_meadow
Verbascum_blattaria,Verbblat,http://www.worldfloraonline.org/taxon/wfo-0000420104,na,Scrophulariaceae,herb,"NA",3,3,no,3540,8,7,7,3,"NA",7,6,yes,no,no,no,yes,yes,no
Verbascum_lychnitis,Verblych,http://www.worldfloraonline.org/taxon/wfo-0000420406,na,Scrophulariaceae,herb,"NA","NA","NA",no,6100,7,6,5,3,"NA",7,3,yes,no,no,no,yes,no,no
Verbascum_nigrum,Verbnigr,http://www.worldfloraonline.org/taxon/wfo-0000420517,na,Scrophulariaceae,herb,"NA","NA","NA",no,6212,7,5,5,5,"NA",7,7,yes,no,no,no,yes,no,no
Verbascum_thapsus,Verbthap,http://www.worldfloraonline.org/taxon/wfo-0000419130,na,Scrophulariaceae,herb,"NA","NA","NA",no,6210,8,NA,3,4,"NA",7,7,yes,no,no,no,yes,no,no
Verbena_officinalis,Verboffi,http://www.worldfloraonline.org/taxon/wfo-0000332143,na,Verbenaceae,herb,"NA","NA","NA",no,3300,9,6,3,5,"NA",7,7,yes,no,no,no,yes,yes,no
Veronica_arvensis,Veroarve,http://www.worldfloraonline.org/taxon/wfo-0000419753,na,Plantaginaceae,herb,"NA","NA","NA",no,5200,7,6,3,4,"NA",6,NA,yes,no,no,no,yes,no,sand_grassland
Veronica_chamaedrys,Verocham,http://www.worldfloraonline.org/taxon/wfo-0000419437,na,Plantaginaceae,herb,"NA","NA","NA",no,NA,6,NA,NA,5,"NA",NA,NA,yes,no,yes,no,yes,NA,NA
Veronica_persica,Veropers,http://www.worldfloraonline.org/taxon/wfo-0000425859,na,Plantaginaceae,herb,"NA","NA","NA",yes,3310,6,NA,3,5,"NA",7,7,no,no,no,no,no,yes,no
